Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,10,3/1/15,3/7/15,"223,347","5,237"
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,4,1/17/16,1/23/16,"19,590",511
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2015,45,11/1/15,11/7/15,"1,023",30
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2017,10,3/5/17,3/11/17,"36,970",685
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,51,12/11/16,12/17/16,"25,695",499
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,14,3/27/16,4/2/16,"22,201",503
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,43,10/16/16,10/22/16,"5,572",102
B02598,1,HINTER LLC,UBER-HINTER LLC,2015,32,8/2/15,8/8/15,"43,438","1,181"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2015,44,10/25/15,10/31/15,536,10
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2017,14,4/2/17,4/8/17,"135,377","3,095"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,42,10/9/16,10/15/16,"73,520","1,764"
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,40,9/27/15,10/3/15,"74,321","1,696"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2015,48,11/22/15,11/28/15,189,5
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,35,8/21/16,8/27/16,"106,034","2,386"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,45,11/1/15,11/7/15,"131,327","2,931"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,51,12/11/16,12/17/16,"14,458",249
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,12,3/13/16,3/19/16,"82,751","1,697"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2017,10,3/5/17,3/11/17,"108,011","2,331"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,17,4/17/16,4/23/16,"8,324",176
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,16,4/10/16,4/16/16,"16,242",701
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,20,5/8/16,5/14/16,"8,247",212
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,4,1/17/16,1/23/16,"2,919",89
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,17,4/17/16,4/23/16,"5,510",140
